Feature,Coefficient
sentiment_score,97.30479712593221
contains_adopt_keywords,85.41058109304171
num_exclamations,42.85856602347095
title_length,2.106895033050668
num_words,0.9699475545297656
num_verbs,-0.09678833791002739
num_lines,-0.36189444892977063
num_adjectives,-8.075861533350361
num_emojis,-16.434260693740683
contains_money,-247.32437405240233
has_urgency_words,-309.41443644844065
has_question,-323.27711185450585
has_pronouns,-804.0309282772716
